Date,Kandy,Dambulla
2016-04-03,80.00-90.00,70.00-90.00
2016-04-04,100.00-110.00,75.00-100.00
2016-04-05,90.00-100.00,70.00-90.00
2016-04-07,170.00-180.00,150.00-180.00
2016-04-08,80.00-90.00,65.00-85.00
2016-04-10,60.00-70.00,45.00-60.00
2016-04-11,60.00-70.00,50.00-70.00
2016-04-18,90.00-100.00,90.00-110.00
2016-04-19,80.00-90.00,60.00-80.00
2016-04-20,90.00-100.00,65.00-80.00
2016-04-22,80.00-90.00,70.00-85.00
2016-04-25,80.00-90.00,90.00-100.00
2016-04-26,80.00-90.00,75.00-90.00
2016-04-27,80.00-90.00,70.00-90.00
2016-04-28,80.00-90.00,75.00-90.00
2016-04-29,80.00-90.00,70.00-90.00
2016-05-01,240.00-250.00,160.00-200.00
2016-05-02,280.00-290.00,240.00-300.00
2016-05-04,90.00-100.00,75.00-100.00
2016-05-05,90.00-100.00,70.00-90.00
2016-05-07,140.00-150.00,140.00-170.00
2016-05-08,90.00-100.00,70.00-95.00
2016-05-09,60.00-70.00,60.00-70.00
2016-05-10,60.00-70.00,55.00-65.00
2016-05-12,85.00-95.00,65.00-80.00
2016-05-13,90.00-100.00,80.00-90.00
2016-05-16,120.00-130.00,110.00-120.00
2016-05-17,120.00-130.00,120.00-130.00
2016-05-18,90.00-100.00,100.00-120.00
2016-05-19,90.00-100.00,65.00-85.00
2016-05-20,100.00-120.00,90.00-110.00
2016-05-23,110.00-120.00,90.00-110.00
2016-05-24,120.00-130.00,100.00-120.00
2016-05-25,130.00-140.00,120.00-140.00
2016-05-26,120.00-130.00,120.00-130.00
2016-05-27,140.00-150.00,130.00-150.00
2016-05-30,180.00-190.00,140.00-170.00
2016-05-31,180.00-190.00,140.00-170.00
2016-06-01,230.00-240.00,140.00-180.00
2016-06-04,80.00-90.00,75.00-90.00
2016-06-05,80.00-90.00,75.00-90.00
2016-06-06,170.00-180.00,170.00-190.00
2016-06-07,140.00-150.00,120.00-150.00
2016-06-09,60.00-70.00,55.00-70.00
2016-06-10,65.00-70.00,50.00-60.00
2016-06-12,90.00-100.00,65.00-85.00
2016-06-13,190.00-200.00,200.00-220.00
2016-06-14,200.00-210.00,190.00-220.00
2016-06-15,180.00-190.00,190.00-220.00
2016-06-16,210.00-220.00,180.00-200.00
2016-06-17,180.00-200.00,180.00-200.00
2016-06-20,210.00-220.00,200.00-220.00
2016-06-21,230.00-240.00,220.00-250.00
2016-06-22,220.00-230.00,190.00-230.00
2016-06-23,240.00-270.00,190.00-220.00
2016-06-24,200.00-220.00,190.00-230.00
2016-06-27,180.00-200.00,180.00-200.00
2016-06-28,190.00-200.00,180.00-200.00
2016-06-29,190.00-200.00,170.00-190.00
2016-06-30,200.00-210.00,160.00-180.00
2016-07-01,250.00-260.00,170.00-200.00
2016-07-04,70.00-80.00,70.00-90.00
2016-07-06,190.00-200.00,170.00-200.00
2016-07-07,140.00-150.00,120.00-150.00
2016-07-09,55.00-60.00,60.00-70.00
2016-07-10,70.00-75.00,130.00-160.00
2016-07-11,70.00-80.00,60.00-80.00
2016-07-12,90.00-100.00,70.00-95.00
2016-07-15,120.00-130.00,110.00-130.00
2016-07-18,110.00-120.00,100.00-120.00
2016-07-20,110.00-120.00,100.00-120.00
2016-07-21,120.00-130.00,110.00-140.00
2016-07-22,110.00-120.00,110.00-140.00
2016-07-25,100.00-120.00,80.00-100.00
2016-07-26,90.00-100.00,90.00-110.00
2016-07-27,90.00-100.00,85.00-100.00
2016-07-28,80.00-90.00,70.00-100.00
2016-08-01,190.00-200.00,160.00-190.00
2016-08-02,200.00-210.00,220.00-240.00
2016-08-03,90.00-100.00,75.00-100.00
2016-08-04,90.00-100.00,85.00-120.00
2016-08-06,190.00-200.00,180.00-200.00
2016-08-07,140.00-150.00,130.00-160.00
2016-08-08,90.00-100.00,55.00-70.00
2016-08-09,60.00-65.00,55.00-65.00
2016-08-11,70.00-80.00,60.00-75.00
2016-08-12,75.00-85.00,75.00-100.00
2016-08-15,80.00-90.00,60.00-75.00
2016-08-16,80.00-90.00,70.00-85.00
2016-08-18,70.00-80.00,70.00-80.00
2016-08-19,80.00-90.00,70.00-90.00
2016-08-22,80.00-90.00,55.00-70.00
2016-08-23,60.00-70.00,40.00-60.00
2016-08-24,50.00-60.00,50.00-60.00
2016-08-29,65.00-75.00,55.00-75.00
2016-08-30,65.00-75.00,50.00-65.00
2016-08-31,60.00-70.00,55.00-65.00
2016-09-02,180.00-200.00,160.00-200.00
2016-09-03,90.00-100.00,70.00-90.00
2016-09-05,70.00-85.00,85.00-100.00
2016-09-06,190.00-200.00,180.00-210.00
2016-09-08,80.00-90.00,55.00-65.00
2016-09-09,60.00-65.00,60.00-70.00
2016-09-11,70.00-80.00,65.00-80.00
2016-09-12,70.00-80.00,65.00-80.00
2016-09-13,60.00-65.00,60.00-70.00
2016-09-14,60.00-70.00,65.00-75.00
2016-09-15,65.00-70.00,60.00-75.00
2016-09-19,75.00-80.00,65.00-75.00
2016-09-20,70.00-80.00,70.00-80.00
2016-09-21,75.00-85.00,70.00-85.00
2016-09-22,70.00-80.00,65.00-85.00
2016-09-23,60.00-70.00,60.00-70.00
2016-09-26,65.00-70.00,65.00-75.00
2016-09-27,65.00-70.00,60.00-70.00
2016-09-28,65.00-70.00,55.00-65.00
2016-09-29,60.00-65.00,50.00-65.00
2016-09-30,60.00-65.00,50.00-65.00
2016-10-02,190.00-200.00,200.00-250.00
2016-10-03,80.00-90.00,70.00-95.00
2016-10-05,80.00-90.00,90.00-100.00
2016-10-06,190.00-200.00,190.00-210.00
2016-10-08,70.00-80.00,60.00-70.00
2016-10-10,65.00-70.00,55.00-70.00
2016-10-11,70.00-75.00,60.00-75.00
2016-10-13,65.00-75.00,70.00-90.00
2016-10-14,70.00-80.00,80.00-100.00
2016-10-17,80.00-85.00,80.00-90.00
2016-10-18,80.00-85.00,70.00-80.00
2016-10-19,80.00-85.00,70.00-85.00
2016-10-20,70.00-80.00,60.00-80.00
2016-10-21,65.00-75.00,55.00-75.00
2016-10-24,80.00-90.00,70.00-90.00
2016-10-25,80.00-90.00,75.00-95.00
2016-10-26,70.00-80.00,70.00-90.00
2016-10-27,65.00-75.00,60.00-75.00
2016-10-28,75.00-85.00,70.00-85.00
2016-10-31,90.00-100.00,75.00-90.00
2016-11-01,180.00-200.00,180.00-210.00
2016-11-02,190.00-200.00,190.00-230.00
2016-11-03,80.00-90.00,65.00-80.00
2016-11-04,100.00-110.00,90.00-110.00
2016-11-05,90.00-100.00,85.00-110.00
2016-11-08,70.00-80.00,50.00-60.00
2016-11-10,60.00-70.00,50.00-65.00
2016-11-11,60.00-70.00,70.00-80.00
2016-11-15,70.00-80.00,65.00-75.00
2016-11-16,80.00-90.00,75.00-85.00
2016-11-17,70.00-80.00,60.00-65.00
2016-11-18,70.00-75.00,70.00-80.00
2016-11-21,80.00-90.00,70.00-85.00
2016-11-22,70.00-80.00,70.00-85.00
2016-11-23,70.00-80.00,60.00-75.00
2016-11-24,70.00-75.00,55.00-70.00
2016-11-25,60.00-70.00,60.00-75.00
2016-11-28,85.00-90.00,80.00-95.00
2016-11-29,90.00-95.00,70.00-90.00
2016-11-30,80.00-90.00,80.00-100.00
2016-12-01,200.00-210.00,160.00-200.00
2016-12-02,180.00-200.00,160.00-190.00
2016-12-05,90.00-100.00,80.00-100.00
2016-12-08,70.00-80.00,50.00-70.00
2016-12-10,60.00-70.00,50.00-65.00
2016-12-14,100.00-120.00,75.00-110.00
2016-12-15,100.00-120.00,80.00-100.00
2016-12-16,100.00-120.00,85.00-110.00
2016-12-19,90.00-100.00,65.00-90.00
2016-12-20,70.00-80.00,70.00-90.00
2016-12-21,80.00-90.00,55.00-75.00
2016-12-22,80.00-90.00,60.00-75.00
2016-12-23,70.00-80.00,65.00-85.00
2016-12-26,90.00-100.00,70.00-95.00
2016-12-27,90.00-100.00,65.00-85.00
2016-12-28,90.00-100.00,60.00-80.00
2016-12-29,90.00-100.00,70.00-85.00
2016-12-30,80.00-90.00,60.00-85.00
2017-01-02,50.00-60.00,40.00-50.00
2017-01-03,35.00-45.00,30.00-40.00
2017-01-08,130.00-140.00,140.00--160.00
2017-01-11,140.00-150.00,120.00--140.00
2017-01-13,60.00-70.00,50.00-65.00
2017-01-16,85.00-95.00,55.00-70.00
2017-01-17,80.00-90.00,60.00-85.00
2017-01-18,70.00-80.00,45.00-60.00
2017-01-19,60.00-70.00,45.00-55.00
2017-01-20,55.00-65.00,40.00-55.00
2017-01-23,60.00-70.00,35.00-60.00
2017-01-24,55.00-65.00,40.00-55.00
2017-01-25,50.00-60.00,40.00-60.00
2017-01-26,55.00-65.00,45.00-55.00
2017-01-27,50.00-60.00,45.00-60.00
2017-01-30,40.00-45.00,25.00-50.00
2017-01-31,45.00-50.00,30.00-45.00
2017-02-01,90.00-100.00,50.00-80.00
2017-02-02,45.00-55.00,35.00-55.00
2017-02-03,40.00-45.00,40.00-60.00
2017-02-05,220.00-240.00,190.00--230.00
2017-02-06,180.00-200.00,180.00--230.00
2017-02-08,130.00-140.00,130.00--150.00
2017-02-10,110.00-120.00,90.00--100.00
2017-02-11,130.00-140.00,120.00--140.00
2017-02-13,50.00-60.00,30.00-50.00
2017-02-14,40.00-50.00,35.00-50.00
2017-02-15,40.00-45.00,35.00-50.00
2017-02-16,40.00-50.00,40.00-50.00
2017-02-17,35.00-45.00,40.00-50.00
2017-02-20,40.00-50.00,35.00-50.00
2017-02-21,30.00-40.00,35.00-50.00
2017-02-22,30.00-40.00,25.00-35.00
2017-02-23,40.00-50.00,30.00-45.00
2017-02-27,35.00-45.00,35.00-45.00
2017-02-28,40.00-50.00,25.00-40.00
2017-03-01,60.00-70.00,60.00-75.00
2017-03-02,40.00-45.00,30.00-55.00
2017-03-03,35.00-45.00,30.00-50.00
2017-03-04,80.00-100.00,80.00--100.00
2017-03-05,210.00-220.00,200.00--240.00
2017-03-07,140.00-150.00,150.00--170.00
2017-03-08,120.00-140.00,130.00--155.00
2017-03-10,80.00-90.00,100.00--120.00
2017-03-13,50.00-55.00,30.00-40.00
2017-03-14,40.00-50.00,30.00-45.00
2017-03-15,40.00-50.00,35.00-50.00
2017-03-16,40.00-45.00,30.00-40.00
2017-03-17,40.00-45.00,30.00-40.00
2017-03-20,65.00-75.00,65.00-90.00
2017-03-21,80.00-90.00,80.00-95.00
2017-03-22,80.00-90.00,80.00-95.00
2017-03-23,90.00-100.00,80.00-90.00
2017-03-24,100.00-110.00,85.00--100.00
2017-03-27,80.00-100.00,60.00-80.00
2017-03-28,70.00-90.00,70.00-90.00
2017-03-29,65.00-80.00,65.00-80.00
2017-03-30,60.00-80.00,60.00-70.00
2017-03-31,70.00-90.00,70.00-85.00
2017-04-01,60.00-70.00,55.00-70.00
2017-04-04,90.00-100.00,70.00--100.00
2017-04-05,220.00-230.00,200.00--230.00
2017-04-07,140.00-150.00,150.00--175.00
2017-04-08,100.00-120.00,130.00--155.00
2017-04-09,90.00-100.00,75.00--100.00
2017-04-10,80.00-90.00,90.00--100.00
2017-04-12,170.00-180.00,130.00--175.00
2017-04-17,100.00-120.00,110.00--120.00
2017-04-18,130.00-150.00,100.00--125.00
2017-04-19,120.00-140.00,120.00--150.00
2017-04-20,140.00-160.00,140.00--170.00
2017-04-21,140.00-150.00,140.00--170.00
2017-04-24,140.00-160.00,140.00--170.00
2017-04-25,140.00-160.00,140.00--170.00
2017-04-26,140.00-150.00,140.00--170.00
2017-04-27,140.00-160.00,140.00--175.00
2017-04-28,140.00-160.00,160.00--180.00
2017-05-01,60.00-70.00,40.00-55.00
2017-05-05,200.00-220.00,200.00--240.00
2017-05-06,180.00-200.00,170.00--230.00
2017-05-07,130.00-140.00,140.00--160.00
2017-05-12,150.00-160.00,100.00--130.00
2017-05-15,220.00-230.00,200.00--230.00
2017-05-16,220.00-230.00,200.00--240.00
2017-05-17,220.00-230.00,200.00--230.00
2017-05-18,200.00-220.00,190.00--240.00
2017-05-19,220.00-240.00,180.00--230.00
2017-05-23,230.00-250.00,180.00--250.00
2017-05-24,240.00-250.00,190.00--250.00
2017-05-25,220.00-240.00,180.00--230.00
2017-05-26,200.00-220.00,180.00--240.00
2017-05-29,200.00-220.00,170.00--240.00
2017-05-30,210.00-220.00,170.00--240.00
2017-05-31,220.00-230.00,200.00--250.00
2017-06-01,65.00-75.00,50.00-60.00
2017-06-02,50.00-60.00,35.00-50.00
2017-06-03,35.00-40.00,25.00-35.00
2017-06-04,80.00-90.00,50.00-70.00
2017-06-06,180.00-200.00,170.00--230.00
2017-06-07,120.00-130.00,120.00--130.00
2017-06-09,90.00-100.00,65.00-90.00
2017-06-10,90.00-100.00,80.00--100.00
2017-06-11,150.00-160.00,140.00--160.00
2017-06-12,150.00-160.00,100.00--130.00
2017-06-13,270.00-280.00,230.00--250.00
2017-06-14,270.00-280.00,200.00--250.00
2017-06-15,250.00-270.00,240.00--250.00
2017-06-16,250.00-260.00,230.00--250.00
2017-06-19,220.00-240.00,180.00--200.00
2017-06-20,220.00-230.00,180.00--220.00
2017-06-21,200.00-220.00,220.00--230.00
2017-06-22,200.00-220.00,180.00--200.00
2017-06-23,210.00-220.00180.00,-240.00220.00
2017-06-27,220.00-240.00200.00,-220.00220.00
2017-06-28,220.00-240.00,200.00--220.00
2017-06-29,220.00-230.00,220.00--240.00
2017-06-30,200.00-210.00,170.00--220.00
2017-07-02,40.00-50.00,25.00-40.00
2017-07-03,35.00-40.00,25.00-35.00
2017-07-04,90.00-100.00,60.00-80.00
2017-07-06,180.00-200.00,200.00--240.00
2017-07-07,120.00-130.00,130.00--150.00
2017-07-09,90.00-100.00,65.00-90.00
2017-07-11,140.00-150.00,100.00--120.00
2017-07-12,140.00-150.00,85.00--120.00
2017-07-13,150.00-160.00,130.00--160.00
2017-07-14,130.00-150.00,160.00--190.00
2017-07-17,160.00-170.00,150.00--185.00
2017-07-18,160.00-170.00,180.00--210.00
2017-07-19,150.00-170.00,160.00--190.00
2017-07-20,150.00-170.00,170.00--190.00
2017-07-21,150.00-160.00,150.00--180.00
2017-07-24,190.00-200.00,170.00--190.00
2017-07-25,180.00-190.00,160.00--185.00
2017-07-26,160.00-180.00,150.00--185.00
2017-07-27,170.00-180.00,150.00--175.00
2017-07-28,170.00-180.00,130.00--150.00
2017-07-31,130.00-140.00,130.00--150.00
2017-08-02,50.00-55.00,30.00-45.00
2017-08-03,30.00-40.00,25.00-40.00
2017-08-05,200.00-210.00,130.00--180.00
2017-08-08,130.00-140.00,125.00--140.00
2017-08-09,70.00-80.00,60.00-80.00
2017-08-11,140.00-150.00,120.00--160.00
2017-08-12,140.00-150.00,110.00--130.00
2017-08-14,80.00-90.00,70.00-85.00
2017-08-15,80.00-90.00,70.00--110.00
2017-08-16,90.00-100.00,80.00--120.00
2017-08-17,80.00-100.00,65.00--100.00
2017-08-18,90.00-100.00,80.00--120.00
2017-08-21,100.00-110.00,80.00--100.00
2017-08-22,100.00-110.00,70.00-100.00
2017-08-23,90.00-100.00,80.00-110.00
2017-08-24,100.00-110.00,70.00-100.00
2017-08-25,80.00-100.00,80.00--100.00
2017-08-28,90.00-100.00,65.00-90.00
2017-08-29,80.00-90.00,70.00-90.00
2017-08-30,80.00-90.00,80.00--100.00
2017-09-01,55.00-60.00,45.00-60.00
2017-09-02,40.00-50.00,30.00-45.00
2017-09-03,30.00-40.00,25.00-35.00
2017-09-05,240.00-260.00,160.00--190.00
2017-09-06,240.00-260.00,
2017-09-08,120.00-140.00,100.00--130.00
2017-09-10,90.00-100.00,70.00--100.00
2017-09-11,130.00-140.00,140.00--160.00
2017-09-13,90.00-100.00,70.00-90.00
2017-09-14,90.00-100.00,65.00-85.00
2017-09-15,80.00-90.00,70.00-95.00
2017-09-18,80.00-90.00,75.00-90.00
2017-09-19,80.00-90.00,70.00-85.00
2017-09-20,80.00-90.00,70.00-90.00
2017-09-21,90.00-100.00,80.00--100.00
2017-09-22,80.00-90.00,80.00-90.00
2017-09-25,100.00-120.00,100.00--120.00
2017-09-26,100.00-110.00,100.00--120.00
2017-09-27,100.00-110.00,120.00--130.00
2017-09-28,100.00-110.00,100.00--120.00
2017-09-29,100.00-110.00,100.00--110.00
2017-10-01,50.00-60.00,40.00-55.00
2017-10-03,35.00-40.00,30.00-40.00
2017-10-07,210.00-220.00,190.00--220.00
2017-10-08,110.00-120.00,90.00--120.00
2017-10-10,70.00-80.00,90.00--100.00
2017-10-11,130.00-140.00,130.00--150.00
2017-10-13,80.00-90.00,90.00--100.00
2017-10-16,100.00-120.00,120.00--130.00
2017-10-17,125.00-130.00,100.00--120.00
2017-10-19,125.00-130.00,85.00--110.00
2017-10-20,130.00-140.00,130.00--135.00
2017-10-23,120.00-130.00,110.00--135.00
2017-10-24,110.00-120.00,105.00--120.00
2017-10-25,100.00-110.00,110.00--130.00
2017-10-26,120.00-130.00,100.00--130.00
2017-10-27,110.00-120.00,110.00--140.00
2017-10-30,100.00-120.00,110.00--130.00
2017-10-31,120.00-130.00,100.00--120.00
2017-11-01,60.00-65.00,45.00-55.00
2017-11-04,100.00-120.00,85.00--120.00
2017-11-07,180.00-200.00,180.00--215.00
2017-11-08,90.00-110.00,80.00--100.00
2017-11-09,90.00-100.00,70.00--110.00
2017-11-10,100.00-110.00,80.00--100.00
2017-11-12,140.00-150.00,120.00--140.00
2017-11-13,160.00-170.00,130.00--160.00
2017-11-14,140.00-150.00,140.00--160.00
2017-11-15,170.00-180.00,160.00--170.00
2017-11-16,200.00-220.00,200.00--230.00
2017-11-17,200.00-220.00,190.00--220.00
2017-11-20,160.00-180.00,170.00--200.00
2017-11-21,130.00-140.00,130.00--160.00
2017-11-22,140.00-150.00,160.00--180.00
2017-11-23,100.00-105.00,180.00--190.00
2017-11-24,170.00-180.00,130.00--170.00
2017-11-27,150.00-160.00,160.00--180.00
2017-11-28,170.00-180.00,180.00--210.00
2017-11-29,160.00-170.00,160.00--190.00
2017-11-30,150.00-160.00,160.00--200.00
2017-12-04,110.00-120.00,120.00--140.00
2017-12-05,230.00-240.00,200.00--250.00
2017-12-06,280.00-300.00,200.00--230.00
2017-12-07,140.00-150.00,170.00--210.00
2017-12-09,80.00-90.00,75.00-90.00
2017-12-10,90.00-100.00,80.00--100.00
2017-12-12,140.00-150.00,130.00--140.00
2017-12-13,110.00-130.00,120.00--140.00
2017-12-14,120.00-130.00,90.00--130.00
2017-12-15,130.00-140.00,70.00--100.00
2017-12-18,120.00-125.00,80.00--110.00
2017-12-19,110.00-120.00,70.00--110.00
2017-12-20,120.00-125.00,100.00--110.00
2017-12-21,110.00-120.00,100.00--120.00
2017-12-22,100.00-110.00,100.00--120.00
2017-12-26,125.00-130.00,90.00--120.00
2017-12-27,90.00-100.00,100.00--120.00
2017-12-28,90.00-100.00,100.00--120.00
2017-12-29,100.00-110.00,80.00--100.00
2018-01-02,90.00-100.00,100.00--120.00
2018-01-05,90.00-100.00,75.00--100.00
2018-01-08,180.00-200.00,220.00-240.00
2018-01-10,100.00-120.00,80.00-110.00
2018-01-11,200.00-220.00,170.00-230.00
2018-01-15,80.00-90.00,65.00-90.00
2018-01-16,80.00-90.00,70.00--100.00
2018-01-17,90.00-100.00,70.00-90.00
2018-01-18,90.00-100.00,70.00-90.00
2018-01-19,70.00-80.00,70.00--100.00
2018-01-22,60.00-70.00,55.00-80.00
2018-01-23,60.00-70.00,55.00-70.00
2018-01-24,60.00-70.00,40.00-65.00
2018-01-25,50.00-60.00,50.00-60.00
2018-01-26,70.00-80.00,50.00-70.00
2018-01-29,90.00-100.00,65.00--110.00
2018-01-30,90.00-100.00,80.00--110.00
2018-02-01,110.00-120.00,100.00--120.00
2018-02-02,65.00-80.00,100.00--120.00
2018-02-03,60.00-70.00,50.00-75.00
2018-02-04,90.00-100.00,75.00--100.00
2018-02-05,90.00-100.00,80.00--110.00
2018-02-07,200.00-220.00,170.00-240.00
2018-02-08,230.00-240.00,220.00-250.00
2018-02-10,100.00-120.00,60.00-100.00
2018-02-11,180.00-200.00,180.00--230.00
2018-02-14,70.00-85.00,60.00-90.00
2018-02-15,60.00-70.00,60.00-90.00
2018-02-16,70.00-80.00,60.00-95.00
2018-02-19,70.00-80.00,75.00-90.00
2018-02-20,70.00-80.00,60.00-90.00
2018-02-21,70.00-80.00,60.00-90.00
2018-02-22,70.00-80.00,70.00-90.00
2018-02-23,100.00-110.00,65.00-90.00
2018-02-26,80.00-90.00,70.00-95.00
2018-02-27,70.00-80.00,80.00--110.00
2018-02-28,70.00-80.00,70.00--100.00
2018-03-01,120.00-125.00,100.00--120.00
2018-03-04,90.00-100.00,60.00-70.00
2018-03-05,90.00-100.00,70.00--100.00
2018-03-07,160.00-180.00,190.00-220.00
2018-03-08,200.00-220.00,210.00-240.00
2018-03-09,270.00-280.00,260.00-290.00
2018-03-10,90.00-110.00,70.00-100.00
2018-03-12,200.00-220.00,170.00-220.00
2018-03-13,70.00-80.00,75.00-90.00
2018-03-14,60.00-70.00,65.00-90.00
2018-03-15,60.00-70.00,60.00-75.00
2018-03-16,50.00-60.00,45.00-70.00
2018-03-19,60.00-70.00,60.00-80.00
2018-03-20,60.00-70.00,55.00-80.00
2018-03-21,50.00-60.00,65.00-85.00
2018-03-22,60.00-70.00,60.00-75.00
2018-03-23,60.00-70.00,60.00-75.00
2018-03-26,80.00-90.00,60.00-90.00
2018-03-27,70.00-80.00,65.00-85.00
2018-03-28,85.00-95.00,70.00-95.00
2018-04-01,90.00-100.00,80.00--100.00
2018-04-04,90.00-100.00,85.00--100.00
2018-04-05,90.00-100.00,70.00-90.00
2018-04-07,150.00-170.00,150.00-160.00
2018-04-09,260.00-280.00,220.00-250.00
2018-04-10,100.00-120.00,70.00-100.00
2018-04-12,220.00-230.00,200.00-240.00
2018-04-17,70.00-80.00,90.00--100.00
2018-04-18,90.00-100.00,70.00--100.00
2018-04-19,80.00-90.00,70.00--100.00
2018-04-20,80.00-90.00,70.00-90.00
2018-04-23,90.00-100.00,70.00--100.00
2018-04-24,90.00-100.00,70.00--100.00
2018-04-25,80.00-90.00,70.00-90.00
2018-04-26,80.00-90.00,70.00-90.00
2018-04-27,80.00-90.00,70.00--105.00
2018-05-01,90.00-100.00,80.00--110.00
2018-05-02,60.00-70.00,50.00-80.00
2018-05-03,70.00-80.00,45.00-80.00
2018-05-04,90.00-100.00,70.00--100.00
2018-05-06,260.00-280.00,180.00--230.00
2018-05-07,150.00-170.00,140.00-180.00
2018-05-09,200.00-230.00,130.00-180.00
2018-05-10,100.00-120.00,80.00-110.00
2018-05-11,200.00-220.00,180.00--230.00
2018-05-12,200.00-220.00,140.00-190.00
2018-05-14,120.00-130.00,160.00--180.00
2018-05-15,130.00-140.00,130.00--150.00
2018-05-16,130.00-140.00,130.00--150.00
2018-05-17,130.00-140.00,150.00--160.00
2018-05-21,150.00-160.00,180.00-200.00
2018-05-22,170.00-180.00,200.00-230.00
2018-05-23,180.00-190.00,150.00-200.00
2018-05-24,180.00-190.00,150.00-190.00
2018-05-25,160.00-170.00,150.00-180.00
2018-05-28,190.00-200.00,180.00-200.00
2018-05-30,220.00-230.00,180.00--220.00
2018-05-31,220.00-230.00,200.00--220.00
2018-06-03,25.00-30.00,40.00-80.00
2018-06-04,80.00-90.00,65.00-90.00
2018-06-06,230.00-240.00,200.00--220.00
2018-06-07,150.00-170.00,140.00-180.00
2018-06-08,220.00-240.00,200.00-250.00
2018-06-09,180.00-200.00,150.00-190.00
2018-06-12,200.00-210.00,140.00-180.00
2018-06-13,220.00-230.00,170.00-210.00
2018-06-14,260.00-270.00,200.00-280.00
2018-06-18,270.00-280.00,240.00-270.00
2018-06-19,270.00-280.00,230.00-280.00
2018-06-20,280.00-290.00,230.00-270.00
2018-06-21,280.00-290.00,250.00-290.00
2018-06-22,270.00-280.00,290.00-320.00
2018-06-25,270.00-280.00,230.00-270.00
2018-06-26,280.00-290.00,270.00-280.00
2018-06-28,280.00-300.00,
2018-06-29,270.00-280.00,250.00-280.00
2018-07-02,70.00-80.00,70.00-85.00
2018-07-03,70.00-80.00,50.00-70.00
2018-07-06,230.00-240.00,200.00--220.00
2018-07-08,220.00-230.00,220.00-280.00
2018-07-09,160.00-180.00,140.00-180.00
2018-07-11,260.00-280.00,240.00--250.00
2018-07-12,180.00-200.00,150.00-180.00
2018-07-13,180.00-200.00,160.00-200.00
2018-07-16,170.00-190.00,150.00-190.00
2018-07-17,180.00-200.00,200.00-220.00
2018-07-18,190.00-200.00,170.00-200.00
2018-07-19,180.00-200.00,150.00-180.00
2018-07-20,180.00-200.00,160.00-200.00
2018-07-23,180.00-200.00,180.00-200.00
2018-07-24,190.00-200.00,190.00-230.00
2018-07-25,210.00-220.00,230.00-260.00
2018-07-26,240.00-260.00,230.00-265.00
2018-07-30,250.00-270.00,220.00-250.00
2018-07-31,190.00-200.00,200.00-240.00
2018-08-01,120.00-125.00,80.00--110.00
2018-08-02,60.00-70.00,50.00-75.00
2018-08-03,,90.00--110.00
2018-08-05,110.00-120.00,85.00--125.00
2018-08-06,230.00-240.00,200.00--220.00
