Date,Bean_Kandy_price
12/19/2017,165.0
12/20/2017,165.0
12/21/2017,175.0
12/22/2017,175.0
12/26/2017,245.0
12/27/2017,225.0
12/28/2017,205.0
12/29/2017,195.0
1/2/2018,145.0
1/5/2018,125.0
1/5/2018,125.0
1/8/2018,145.0
1/10/2018,75.0
1/11/2018,195.0
1/15/2018,190.0
1/16/2018,145.0
1/17/2018,135.0
1/18/2018,135.0
1/19/2018,145.0
1/22/2018,175.0
1/23/2018,135.0
1/24/2018,110.0
1/25/2018,110.0
1/26/2018,145.0
1/29/2018,165.0
1/30/2018,155.0
2/1/2018,255.0
2/2/2018,105.0
2/3/2018,65.0
2/4/2018,45.0
2/5/2018,110.0
2/5/2018,110.0
2/7/2018,230.0
2/8/2018,145.0
2/10/2018,75.0
2/11/2018,170.0
2/14/2018,125.0
2/15/2018,125.0
2/16/2018,165.0
2/19/2018,125.0
2/20/2018,125.0
2/21/2018,125.0
2/22/2018,145.0
2/23/2018,155.0
2/26/2018,125.0
2/27/2018,85.0
2/28/2018,75.0
3/1/2018,195.0
3/4/2018,45.0
3/5/2018,95.0
3/5/2018,95.0
3/7/2018,210.0
3/8/2018,135.0
3/9/2018,95.0
3/10/2018,72.5
3/12/2018,85.0
3/13/2018,95.0
3/14/2018,85.0
3/15/2018,75.0
3/16/2018,105.0
3/19/2018,105.0
3/20/2018,95.0
3/21/2018,85.0
3/22/2018,75.0
3/23/2018,85.0
3/26/2018,85.0
3/27/2018,75.0
3/28/2018,65.0
4/1/2018,175.0
4/4/2018,40.0
4/5/2018,110.0
4/5/2018,110.0
4/7/2018,210.0
4/9/2018,95.0
4/10/2018,85.0
4/12/2018,95.0
4/17/2018,65.0
4/18/2018,45.0
4/19/2018,35.0
4/20/2018,45.0
4/23/2018,95.0
4/24/2018,115.0
4/25/2018,95.0
4/26/2018,105.0
4/27/2018,105.0
5/1/2018,165.0
5/2/2018,145.0
5/3/2018,95.0
5/4/2018,37.5
5/6/2018,275.0
5/7/2018,190.0
5/9/2018,75.0
5/10/2018,75.0
5/11/2018,190.0
5/12/2018,110.0
5/14/2018,115.0
5/14/2018,115.0
5/15/2018,105.0
5/15/2018,105.0
5/16/2018,125.0
5/16/2018,125.0
5/17/2018,125.0
5/17/2018,125.0
5/21/2018,125.0
5/21/2018,125.0
5/22/2018,175.0
5/22/2018,175.0
5/23/2018,175.0
5/23/2018,175.0
5/24/2018,165.0
5/24/2018,165.0
5/25/2018,165.0
5/25/2018,165.0
5/28/2018,195.0
5/28/2018,195.0
5/30/2018,235.0
5/30/2018,235.0
5/31/2018,260.0
5/31/2018,260.0
6/3/2018,75.0
6/4/2018,45.0
6/6/2018,195.0
6/7/2018,210.0
6/8/2018,145.0
6/9/2018,75.0
6/12/2018,110.0
6/13/2018,195.0
6/14/2018,195.0
6/18/2018,190.0
6/19/2018,225.0
6/20/2018,210.0
6/21/2018,210.0
6/22/2018,255.0
6/25/2018,205.0
6/26/2018,225.0
6/28/2018,235.0
6/29/2018,190.0
7/2/2018,105.0
7/3/2018,95.0
7/6/2018,195.0
7/8/2018,155.0
7/9/2018,75.0
7/11/2018,235.0
7/12/2018,115.0
7/13/2018,170.0
7/16/2018,245.0
7/17/2018,245.0
7/18/2018,225.0
7/19/2018,225.0
7/20/2018,210.0
7/23/2018,225.0
7/24/2018,195.0
7/25/2018,175.0
7/26/2018,135.0
7/30/2018,145.0
7/31/2018,155.0
8/1/2018,225.0
8/2/2018,115.0
8/3/2018,
8/5/2018,110.0
8/5/2018,110.0
8/6/2018,195.0
8/8/2018,115.0
8/10/2018,115.0
8/11/2018,190.0
8/13/2018,165.0
8/14/2018,175.0
8/15/2018,175.0
8/16/2018,165.0
8/17/2018,155.0
8/20/2018,145.0
8/21/2018,175.0
8/28/2018,125.0
9/1/2018,215.0
9/2/2018,125.0
9/3/2018,
9/4/2018,45.0
9/5/2018,95.0
9/5/2018,95.0
9/7/2018,225.0
9/8/2018,115.0
9/10/2018,115.0
9/11/2018,190.0
9/13/2018,95.0
9/14/2018,75.0
9/17/2018,75.0
9/18/2018,75.0
9/19/2018,85.0
9/20/2018,75.0
9/21/2018,75.0
9/25/2018,75.0
9/26/2018,65.0
9/27/2018,65.0
9/28/2018,75.0
10/1/2018,230.0
10/4/2018,45.0
10/5/2018,95.0
10/5/2018,95.0
10/7/2018,190.0
10/8/2018,125.0
10/9/2018,95.0
10/10/2018,115.0
10/12/2018,175.0
10/15/2018,190.0
10/16/2018,175.0
10/17/2018,175.0
10/18/2018,175.0
10/19/2018,175.0
10/22/2018,175.0
10/23/2018,185.0
10/25/2018,175.0
10/26/2018,175.0
10/29/2018,185.0
10/30/2018,170.0
10/31/2018,170.0
11/1/2018,190.0
11/4/2018,55.0
11/5/2018,85.0
11/5/2018,85.0
11/6/2018,190.0
11/7/2018,210.0
11/9/2018,95.0
11/10/2018,125.0
11/12/2018,165.0
11/13/2018,210.0
11/14/2018,245.0
11/15/2018,275.0
11/16/2018,240.0
11/19/2018,160.0
11/21/2018,135.0
11/23/2018,145.0
11/26/2018,145.0
11/27/2018,135.0
11/28/2018,110.0
11/29/2018,90.0
11/30/2018,75.0
12/1/2018,150.0
12/2/2018,175.0
12/3/2018,95.0
12/4/2018,75.0
12/6/2018,210.0
12/7/2018,190.0
12/9/2018,105.0
12/10/2018,115.0
12/11/2018,190.0
12/12/2018,175.0
12/13/2018,205.0
12/14/2018,215.0
12/17/2018,210.0
12/18/2018,190.0
12/19/2018,160.0
12/20/2018,155.0
12/21/2018,155.0
12/24/2018,125.0
12/26/2018,145.0
12/27/2018,135.0
12/28/2018,110.0
12/31/2018,145.0
1/1/2019,
1/2/2019,75.0
1/3/2019,65.0
1/4/2019,85.0
1/7/2019,85.0
1/10/2019,125.0
1/11/2019,110.0
1/14/2019,95.0
1/16/2019,85.0
1/17/2019,85.0
1/18/2019,95.0
1/21/2019,
1/22/2019,115.0
1/23/2019,95.0
1/24/2019,85.0
1/25/2019,85.0
1/28/2019,75.0
1/29/2019,75.0
1/30/2019,75.0
1/31/2019,65.0
2/1/2019,110.0
2/4/2019,85.0
2/5/2019,235.0
2/7/2019,85.0
2/8/2019,115.0
2/10/2019,135.0
2/12/2019,95.0
2/13/2019,65.0
2/14/2019,65.0
2/15/2019,65.0
2/18/2019,75.0
2/20/2019,75.0
2/21/2019,75.0
2/22/2019,85.0
2/25/2019,95.0
2/26/2019,85.0
2/27/2019,75.0
2/28/2019,75.0
3/1/2019,95.0
3/4/2019,85.0
3/5/2019,225.0
3/6/2019,145.0
3/7/2019,75.0
3/9/2019,210.0
3/10/2019,125.0
3/12/2019,115.0
3/13/2019,55.0
3/14/2019,65.0
3/15/2019,65.0
3/18/2019,75.0
3/19/2019,65.0
3/21/2019,65.0
3/22/2019,65.0
3/25/2019,75.0
3/26/2019,75.0
3/27/2019,75.0
3/28/2019,75.0
3/29/2019,85.0
4/1/2019,75.0
4/4/2019,75.0
4/6/2019,175.0
4/7/2019,75.0
4/9/2019,195.0
4/10/2019,135.0
4/11/2019,125.0
4/12/2019,115.0
4/17/2019,135.0
4/18/2019,115.0
4/23/2019,175.0
4/24/2019,205.0
4/25/2019,235.0
4/26/2019,225.0
4/29/2019,245.0
4/30/2019,245.0
5/2/2019,65.0
5/3/2019,65.0
5/4/2019,75.0
5/7/2019,75.0
5/9/2019,180.0
5/11/2019,135.0
5/12/2019,95.0
5/13/2019,170.0
5/14/2019,145.0
5/15/2019,125.0
5/16/2019,110.0
5/17/2019,145.0
5/21/2019,135.0
5/22/2019,125.0
5/23/2019,125.0
5/27/2019,135.0
5/28/2019,165.0
5/29/2019,165.0
5/30/2019,145.0
5/31/2019,145.0
6/2/2019,45.0
6/3/2019,55.0
6/5/2019,255.0
6/6/2019,145.0
6/8/2019,115.0
6/9/2019,180.0
6/11/2019,125.0
6/12/2019,135.0
6/13/2019,125.0
6/14/2019,125.0
6/17/2019,125.0
6/18/2019,115.0
6/19/2019,85.0
6/20/2019,75.0
6/21/2019,110.0
6/24/2019,75.0
6/25/2019,65.0
6/26/2019,65.0
6/27/2019,65.0
6/28/2019,65.0
7/1/2019,115.0
7/2/2019,45.0
7/3/2019,55.0
7/5/2019,245.0
7/6/2019,125.0
7/8/2019,105.0
7/10/2019,135.0
7/11/2019,110.0
7/15/2019,75.0
7/17/2019,75.0
7/18/2019,95.0
7/19/2019,85.0
7/23/2019,125.0
7/24/2019,125.0
7/25/2019,135.0
7/26/2019,135.0
7/29/2019,145.0
7/30/2019,125.0
8/1/2019,125.0
8/2/2019,45.0
8/3/2019,55.0
8/4/2019,75.0
8/5/2019,235.0
8/7/2019,75.0
8/8/2019,95.0
8/10/2019,145.0
8/11/2019,110.0
8/13/2019,135.0
8/15/2019,145.0
8/16/2019,135.0
8/19/2019,175.0
8/20/2019,155.0
8/21/2019,145.0
8/22/2019,145.0
8/23/2019,125.0
8/26/2019,175.0
8/27/2019,190.0
8/28/2019,195.0
8/29/2019,185.0
8/30/2019,185.0
9/1/2019,125.0
9/4/2019,85.0
9/5/2019,235.0
9/7/2019,75.0
9/8/2019,85.0
9/9/2019,175.0
9/10/2019,135.0
9/12/2019,210.0
9/16/2019,145.0
9/17/2019,140.0
9/18/2019,130.0
9/19/2019,125.0
9/20/2019,115.0
9/23/2019,125.0
9/24/2019,125.0
9/25/2019,115.0
9/26/2019,105.0
9/27/2019,95.0
9/30/2019,135.0
10/1/2019,145.0
10/4/2019,145.0
10/5/2019,225.0
10/6/2019,125.0
10/7/2019,75.0
10/9/2019,175.0
10/10/2019,135.0
10/12/2019,245.0
10/14/2019,135.0
10/15/2019,125.0
10/16/2019,125.0
10/17/2019,95.0
10/18/2019,85.0
10/21/2019,85.0
10/22/2019,85.0
10/23/2019,75.0
10/24/2019,75.0
10/25/2019,75.0
10/28/2019,115.0
10/29/2019,115.0
10/30/2019,125.0
10/31/2019,100.0
11/1/2019,115.0
11/2/2019,65.0
11/3/2019,55.0
11/4/2019,155.0
11/6/2019,115.0
11/7/2019,75.0
11/10/2019,135.0
11/11/2019,110.0
11/13/2019,105.0
11/14/2019,95.0
11/15/2019,75.0
11/18/2019,
11/19/2019,55.0
11/20/2019,45.0
11/21/2019,37.5
11/22/2019,55.0
11/25/2019,55.0
11/26/2019,55.0
11/27/2019,55.0
11/28/2019,65.0
11/29/2019,65.0
12/2/2019,65.0
12/3/2019,55.0
12/4/2019,155.0
12/6/2019,125.0
12/7/2019,75.0
12/9/2019,160.0
12/12/2019,290.0
12/13/2019,290.0
12/16/2019,310.0
12/17/2019,290.0
12/18/2019,260.0
12/19/2019,275.0
12/20/2019,285.0
12/23/2019,280.0
12/24/2019,290.0
12/26/2019,345.0
12/27/2019,325.0
12/30/2019,310.0
12/31/2019,310.0
1/1/2020,
1/7/2020,95.0
1/10/2020,190.0
1/12/2020,225.0
1/13/2020,255.0
1/14/2020,255.0
1/16/2020,235.0
1/17/2020,310.0
