Date,Kandy,Dambulla
2018-11-30,75.0,80.0
2018-12-01,150.0,150.0
2018-12-02,175.0,145.0
2018-12-03,95.0,75.0
2018-12-04,75.0,75.0
2018-12-06,210.0,185.0
2018-12-07,190.0,185.0
2018-12-09,105.0,80.0
2018-12-10,115.0,165.0
2018-12-11,190.0,190.0
2018-12-12,175.0,175.0
2018-12-13,205.0,170.0
2018-12-14,215.0,175.0
2018-12-17,210.0,180.0
2018-12-18,190.0,190.0
2018-12-19,160.0,155.0
2018-12-20,155.0,130.0
2018-12-21,155.0,130.0
2018-12-24,125.0,130.0
2018-12-26,145.0,105.0
2018-12-27,135.0,95.0
2018-12-28,110.0,92.5
2018-12-31,145.0,110.0
2019-01-01,145.0,110.0
2019-01-02,75.0,67.5
2019-01-03,65.0,55.0
2019-01-04,85.0,85.0
2019-01-07,85.0,85.0
2019-01-10,125.0,105.0
2019-01-11,110.0,90.0
2019-01-14,95.0,100.0
2019-01-16,85.0,100.0
2019-01-17,85.0,70.0
2019-01-18,95.0,75.0
2019-01-21,95.0,100.0
2019-01-22,115.0,95.0
2019-01-23,95.0,90.0
2019-01-24,85.0,75.0
2019-01-25,85.0,77.5
2019-01-28,75.0,67.5
2019-01-29,75.0,62.5
2019-01-30,75.0,75.0
2019-01-31,65.0,65.0
2019-02-01,110.0,105.0
2019-02-04,85.0,85.0
2019-02-05,235.0,260.0
2019-02-07,85.0,70.0
2019-02-08,115.0,150.0
2019-02-10,135.0,125.0
2019-02-12,95.0,80.0
2019-02-13,65.0,60.0
2019-02-14,65.0,65.0
2019-02-15,65.0,65.0
2019-02-18,75.0,65.0
2019-02-20,75.0,75.0
2019-02-21,75.0,75.0
2019-02-22,85.0,77.5
2019-02-25,95.0,100.0
2019-02-26,85.0,100.0
2019-02-27,75.0,75.0
2019-02-28,75.0,60.0
2019-03-01,95.0,72.5
2019-03-04,85.0,95.0
2019-03-05,225.0,220.0
2019-03-06,145.0,170.0
2019-03-07,75.0,85.0
2019-03-09,210.0,200.0
2019-03-10,125.0,130.0
2019-03-12,115.0,85.0
2019-03-13,55.0,60.0
2019-03-14,65.0,60.0
2019-03-15,65.0,75.0
2019-03-18,75.0,65.0
2019-03-19,65.0,55.0
2019-03-21,65.0,62.5
2019-03-22,65.0,77.5
2019-03-25,75.0,80.0
2019-03-26,75.0,75.0
2019-03-27,75.0,75.0
2019-03-28,75.0,80.0
2019-03-29,85.0,90.0
2019-04-01,75.0,75.0
2019-04-04,75.0,75.0
2019-04-06,175.0,190.0
2019-04-07,75.0,72.5
2019-04-09,195.0,210.0
2019-04-10,135.0,125.0
2019-04-11,125.0,110.0
2019-04-12,115.0,110.0
2019-04-17,135.0,80.0
2019-04-18,115.0,120.0
2019-04-23,175.0,190.0
2019-04-24,205.0,210.0
2019-04-25,235.0,240.0
2019-04-26,225.0,245.0
2019-04-29,245.0,255.0
2019-04-30,245.0,235.0
2019-05-02,65.0,60.0
2019-05-03,65.0,60.0
2019-05-04,75.0,72.5
2019-05-07,75.0,75.0
2019-05-09,180.0,215.0
2019-05-11,135.0,100.0
2019-05-12,95.0,145.0
2019-05-13,170.0,180.0
2019-05-14,145.0,155.0
2019-05-15,125.0,120.0
2019-05-16,110.0,165.0
2019-05-17,145.0,145.0
2019-05-21,135.0,140.0
2019-05-22,125.0,120.0
2019-05-23,125.0,150.0
2019-05-27,135.0,155.0
2019-05-28,165.0,170.0
2019-05-29,165.0,190.0
2019-05-30,145.0,185.0
2019-05-31,145.0,145.0
2019-06-02,45.0,35.0
2019-06-03,55.0,57.5
2019-06-05,255.0,265.0
2019-06-06,145.0,175.0
2019-06-08,115.0,100.0
2019-06-09,180.0,215.0
2019-06-11,125.0,75.0
2019-06-12,135.0,145.0
2019-06-13,125.0,135.0
2019-06-14,125.0,105.0
2019-06-17,125.0,140.0
2019-06-18,115.0,90.0
2019-06-19,85.0,90.0
2019-06-20,75.0,77.5
2019-06-21,110.0,105.0
2019-06-24,75.0,80.0
2019-06-25,65.0,65.0
2019-06-26,65.0,75.0
2019-06-27,65.0,65.0
2019-06-28,65.0,62.5
2019-07-01,115.0,120.0
2019-07-02,45.0,32.5
2019-07-03,55.0,52.5
2019-07-05,245.0,260.0
2019-07-06,125.0,130.0
2019-07-08,105.0,110.0
2019-07-10,135.0,140.0
2019-07-11,110.0,90.0
2019-07-15,75.0,90.0
2019-07-17,75.0,77.5
2019-07-18,95.0,92.5
2019-07-19,85.0,95.0
2019-07-23,125.0,135.0
2019-07-24,125.0,140.0
2019-07-25,135.0,140.0
2019-07-26,135.0,185.0
2019-07-29,145.0,180.0
2019-07-30,125.0,170.0
2019-08-01,125.0,125.0
2019-08-02,45.0,50.0
2019-08-03,55.0,55.0
2019-08-04,75.0,70.0
2019-08-05,235.0,260.0
2019-08-07,75.0,85.0
2019-08-08,95.0,125.0
2019-08-10,145.0,120.0
2019-08-11,110.0,85.0
2019-08-13,135.0,135.0
2019-08-15,145.0,165.0
2019-08-16,135.0,165.0
2019-08-19,175.0,190.0
2019-08-20,155.0,160.0
2019-08-21,145.0,165.0
2019-08-22,145.0,165.0
2019-08-23,125.0,170.0
2019-08-26,175.0,190.0
2019-08-27,190.0,190.0
2019-08-28,195.0,195.0
2019-08-29,185.0,205.0
2019-08-30,185.0,190.0
2019-09-01,125.0,115.0
2019-09-04,85.0,110.0
2019-09-05,235.0,240.0
2019-09-07,75.0,85.0
2019-09-08,85.0,125.0
2019-09-09,175.0,155.0
2019-09-10,135.0,110.0
2019-09-12,210.0,195.0
2019-09-16,145.0,150.0
2019-09-17,140.0,120.0
2019-09-18,130.0,130.0
