Date,price
8/20/2018,120
8/21/2018,100
8/28/2018,70
9/1/2018,200
9/2/2018,100
9/3/2018,80
9/4/2018,40
9/5/2018,70
9/5/2018,70
9/7/2018,200
9/8/2018,100
9/10/2018,130
9/11/2018,170
9/13/2018,60
9/14/2018,60
9/17/2018,70
9/18/2018,60
9/19/2018,60
9/20/2018,50
9/21/2018,50
9/25/2018,70
9/26/2018,70
9/27/2018,70
9/28/2018,70
10/1/2018,180
10/4/2018,40
10/5/2018,80
10/5/2018,80
10/7/2018,200
10/8/2018,120
10/9/2018,90
10/10/2018,120
10/12/2018,160
10/15/2018,150
10/16/2018,170
10/17/2018,170
10/18/2018,160
10/19/2018,160
10/22/2018,190
10/23/2018,180
10/25/2018,170
10/26/2018,180
10/29/2018,180
10/30/2018,180
10/31/2018,200
11/1/2018,150
11/4/2018,80
11/5/2018,80
11/5/2018,80
11/6/2018,160
11/7/2018,190
11/9/2018,70
11/10/2018,140
11/12/2018,180
11/13/2018,250
11/14/2018,230
11/15/2018,250
11/16/2018,250
11/19/2018,130
11/21/2018,130
11/23/2018,180
11/26/2018,140
11/27/2018,120
11/28/2018,100
11/29/2018,80
11/30/2018,70
12/1/2018,120
12/2/2018,180
12/3/2018,80
12/4/2018,60
12/6/2018,200
12/7/2018,180
12/9/2018,70
12/10/2018,150
12/11/2018,220
12/12/2018,200
12/13/2018,180
12/14/2018,180
12/17/2018,180
12/18/2018,150
12/19/2018,120
12/20/2018,100
12/21/2018,130
12/24/2018,80
12/26/2018,80
12/27/2018,100
12/28/2018,70
12/31/2018,120
1/1/2019,80
1/2/2019,70
1/3/2019,50
1/4/2019,90
1/7/2019,80
1/10/2019,150
1/11/2019,90
1/14/2019,100
1/16/2019,80
1/17/2019,80
1/18/2019,80
1/21/2019,130
1/22/2019,100
1/23/2019,80
1/24/2019,80
1/25/2019,80
1/28/2019,70
1/29/2019,50
1/30/2019,60
1/31/2019,60
2/1/2019,90
2/4/2019,80
2/5/2019,220
2/7/2019,80
2/8/2019,80
2/10/2019,160
2/12/2019,90
2/13/2019,50
2/14/2019,60
2/15/2019,50
2/18/2019,60
2/20/2019,60
2/21/2019,60
2/22/2019,90
2/25/2019,80
2/26/2019,80
2/27/2019,70
2/28/2019,70
3/1/2019,70
3/4/2019,70
3/5/2019,220
3/6/2019,130
3/7/2019,80
3/9/2019,180
3/10/2019,150
3/12/2019,90
3/13/2019,50
3/14/2019,50
3/15/2019,70
3/18/2019,60
3/19/2019,50
3/21/2019,50
3/22/2019,50
3/25/2019,70
3/26/2019,60
3/27/2019,100
3/28/2019,80
3/29/2019,80
4/1/2019,60
4/4/2019,80
4/7/2019,50
4/9/2019,180
4/10/2019,150
4/11/2019,140
4/12/2019,140
4/17/2019,80
4/18/2019,160
4/23/2019,250
4/24/2019,300
4/25/2019,280
4/26/2019,280
4/29/2019,250
4/30/2019,250
5/2/2019,50
5/3/2019,60
5/4/2019,80
5/7/2019,50
5/9/2019,170
5/11/2019,120
5/12/2019,120
5/13/2019,150
5/14/2019,140
5/15/2019,120
5/16/2019,120
5/17/2019,120
5/21/2019,100
5/22/2019,100
5/23/2019,100
5/27/2019,150
5/28/2019,180
5/29/2019,150
5/30/2019,140
5/31/2019,140
6/2/2019,30
6/3/2019,50
6/5/2019,260
6/6/2019,120
6/8/2019,100
6/9/2019,170
6/11/2019,100
6/12/2019,140
6/13/2019,100
6/14/2019,100
6/17/2019,110
6/18/2019,100
6/19/2019,80
6/20/2019,70
6/21/2019,90
6/24/2019,60
6/25/2019,50
6/26/2019,60
6/27/2019,60
6/28/2019,60
7/1/2019,120
7/2/2019,30
7/3/2019,60
7/5/2019,260
7/6/2019,100
7/8/2019,80
7/10/2019,150
7/11/2019,80
7/15/2019,60
7/17/2019,70
7/18/2019,60
7/19/2019,80
7/23/2019,100
7/24/2019,100
7/25/2019,110
7/26/2019,120
7/29/2019,130
7/30/2019,130
8/1/2019,140
8/2/2019,40
8/3/2019,40
8/4/2019,80
8/5/2019,200
8/7/2019,80
8/8/2019,80
8/10/2019,150
8/11/2019,120
8/13/2019,110
8/15/2019,120
8/16/2019,130
8/19/2019,200
8/20/2019,180
8/21/2019,170
8/22/2019,150
8/23/2019,160
8/26/2019,170
8/27/2019,170
8/28/2019,200
8/29/2019,170
8/30/2019,180
9/1/2019,130
9/4/2019,100
9/5/2019,220
9/7/2019,75
9/8/2019,100
9/9/2019,200
9/10/2019,140
9/12/2019,280
9/16/2019,180
9/17/2019,150
9/18/2019,130
9/19/2019,110
9/20/2019,130
9/23/2019,130
9/24/2019,100
9/25/2019,70
9/26/2019,130
9/27/2019,120
9/30/2019,160
10/1/2019,100
10/4/2019,160
10/5/2019,200
10/6/2019,100
10/7/2019,60
10/9/2019,180
10/10/2019,150
10/12/2019,280
10/14/2019,140
10/15/2019,130
10/16/2019,100
10/17/2019,100
10/18/2019,90
10/21/2019,70
10/22/2019,60
10/23/2019,60
10/24/2019,90
10/25/2019,90
10/28/2019,120
10/29/2019,130
10/30/2019,100
10/31/2019,90
11/1/2019,100
11/2/2019,40
11/3/2019,60
11/4/2019,180
11/6/2019,120
11/7/2019,60
11/10/2019,130
11/11/2019,100
11/13/2019,100
11/14/2019,100
11/15/2019,80
11/18/2019,100
11/19/2019,80
11/20/2019,50
11/21/2019,30
11/22/2019,40
11/25/2019,40
11/26/2019,40
11/27/2019,60
11/28/2019,80
11/29/2019,80
12/2/2019,40
12/3/2019,50
12/4/2019,200
12/6/2019,100
12/7/2019,60
12/9/2019,160
12/12/2019,280
12/13/2019,280
12/16/2019,300
12/17/2019,280
12/18/2019,260
12/19/2019,240
12/20/2019,220
12/23/2019,280
12/24/2019,300
12/26/2019,300
12/27/2019,250
12/30/2019,300
12/31/2019,320
1/1/2020,300
1/7/2020,100
1/10/2020,180
1/13/2020,250
1/14/2020,250
1/16/2020,250
1/17/2020,280
1/20/2020,220
1/21/2020,220
1/22/2020,190
1/23/2020,200
1/24/2020,200
1/27/2020,300
1/28/2020,280
1/29/2020,300
1/30/2020,280
1/31/2020,280
2/1/2020,300
2/3/2020,150
2/7/2020,100
2/9/2020,180
2/10/2020,180
2/14/2020,140
2/17/2020,150
2/18/2020,170
2/19/2020,160
2/20/2020,160
2/24/2020,130
2/25/2020,140
2/26/2020,140
2/27/2020,140
2/28/2020,160
3/1/2020,300
3/2/2020,230
3/3/2020,120
3/7/2020,90
3/9/2020,200
3/13/2020,70
4/3/2020,80
4/8/2020,150
4/9/2020,180
5/2/2020,190
5/3/2020,80
5/10/2020,220
6/1/2020,260
6/3/2020,80
6/7/2020,100
6/8/2020,150
6/10/2020,220
6/15/2020,120
6/16/2020,120
6/17/2020,110
6/18/2020,110
6/19/2020,100
6/22/2020,80
6/23/2020,90
6/24/2020,80
6/25/2020,100
6/26/2020,100
6/29/2020,90
6/30/2020,100
7/1/2020,240
7/7/2020,100
7/8/2020,180
7/9/2020,200
7/10/2020,180
7/13/2020,120
7/14/2020,140
7/15/2020,140
7/16/2020,150
7/17/2020,140
7/20/2020,140
7/21/2020,120
7/22/2020,140
7/23/2020,130
7/24/2020,120
7/27/2020,180
7/28/2020,170
7/29/2020,150
7/30/2020,150
7/31/2020,150
8/1/2020,220
8/7/2020,100
8/9/2020,220
8/10/2020,160
8/13/2020,170
8/14/2020,200
8/17/2020,200
8/18/2020,200
8/19/2020,180
8/20/2020,180
8/21/2020,180
8/24/2020,180
8/25/2020,180
8/26/2020,170
8/27/2020,160
8/28/2020,150
9/1/2020,230
9/7/2020,90
9/9/2020,220
9/10/2020,130
9/14/2020,220
9/15/2020,230
9/16/2020,200
9/17/2020,180
9/18/2020,180
9/21/2020,180
9/22/2020,180
9/23/2020,150
9/24/2020,160
9/25/2020,180
9/28/2020,200
9/29/2020,200
9/30/2020,200
10/3/2020,60
10/7/2020,90
10/8/2020,170
10/9/2020,220
10/13/2020,130
10/14/2020,100
10/15/2020,100
10/16/2020,100
10/19/2020,180
10/20/2020,170
10/21/2020,180
10/22/2020,150
11/3/2020,70
11/8/2020,180
11/9/2020,220
12/3/2020,70
12/8/2020,180
12/10/2020,150
12/18/2020,150
12/21/2020,150
12/22/2020,130
12/23/2020,120
12/24/2020,100
12/28/2020,180
12/30/2020,120
12/31/2020,130
1/1/2021,100
1/2/2021,120
1/3/2021,120
1/4/2021,140
1/7/2021,100
