Date,Bean_Kandy_price
2022-03-23,160.0
2022-03-24,160.0
2022-03-25,140.0
2022-03-26,136.66666666666666
2022-03-27,133.33333333333334
2022-03-28,130.0
2022-03-29,140.0
2022-03-30,110.0
2022-03-31,110.0
2022-04-01,153.33333333333334
2022-04-02,196.66666666666669
2022-04-03,240.0
2022-04-04,140.0
2022-04-05,340.0
2022-04-06,325.0
2022-04-07,310.0
2022-04-08,370.0
2022-04-09,317.5
2022-04-10,265.0
2022-04-11,275.0
2022-04-12,262.14285714285717
2022-04-13,249.28571428571428
2022-04-14,236.42857142857144
2022-04-15,223.57142857142856
2022-04-16,210.71428571428572
2022-04-17,197.85714285714286
2022-04-18,185.0
2022-04-19,185.0
2022-04-20,177.5
2022-04-21,170.0
2022-04-22,215.0
2022-04-23,231.66666666666666
2022-04-24,248.33333333333334
2022-04-25,265.0
2022-04-26,240.0
2022-04-27,290.0
2022-04-28,327.5
2022-04-29,365.0
2022-04-30,277.5
2022-05-01,190.0
2022-05-02,173.33333333333334
2022-05-03,156.66666666666666
2022-05-04,140.0
2022-05-05,340.0
2022-05-06,325.0
2022-05-07,310.0
2022-05-08,360.0
2022-05-09,375.0
2022-05-10,240.0
2022-05-11,187.5
2022-05-12,135.0
2022-05-13,390.0
2022-05-14,377.5
2022-05-15,365.0
2022-05-16,352.5
2022-05-17,340.0
2022-05-18,360.0
2022-05-19,365.0
2022-05-20,440.0
2022-05-21,438.3333333333333
2022-05-22,436.6666666666667
2022-05-23,435.0
2022-05-24,440.0
2022-05-25,440.0
2022-05-26,525.0
2022-05-27,465.0
2022-05-28,481.6666666666667
2022-05-29,498.3333333333333
2022-05-30,515.0
2022-05-31,510.0
2022-06-01,215.0
2022-06-02,280.0
2022-06-03,345.0
2022-06-04,410.0
2022-06-05,475.0
2022-06-06,540.0
2022-06-07,335.0
2022-06-08,347.5
2022-06-09,360.0
2022-06-10,265.0
2022-06-11,207.5
2022-06-12,150.0
2022-06-13,565.0
2022-06-14,577.5
2022-06-15,590.0
2022-06-16,565.0
2022-06-17,525.0
2022-06-18,530.0
2022-06-19,535.0
2022-06-20,540.0
2022-06-21,535.0
2022-06-22,540.0
2022-06-23,515.0
2022-06-24,475.0
2022-06-25,458.3333333333333
2022-06-26,441.6666666666667
2022-06-27,425.0
2022-06-28,375.0
2022-06-29,290.0
2022-06-30,310.0
2022-07-01,220.0
2022-07-02,205.0
2022-07-03,190.0
2022-07-04,110.0
2022-07-05,342.5
2022-07-06,575.0
2022-07-07,290.0
2022-07-08,327.5
2022-07-09,365.0
2022-07-10,290.0
2022-07-11,295.0
2022-07-12,300.0
2022-07-13,305.0
2022-07-14,310.0
2022-07-15,310.0
2022-07-16,318.3333333333333
2022-07-17,326.6666666666667
2022-07-18,335.0
2022-07-19,335.0
2022-07-20,335.0
2022-07-21,290.0
2022-07-22,310.0
2022-07-23,300.0
2022-07-24,290.0
2022-07-25,280.0
2022-07-26,265.0
2022-07-27,310.0
2022-07-28,340.0
2022-07-29,290.0
2022-07-30,260.0
2022-07-31,230.0
2022-08-01,200.0
2022-08-02,170.0
2022-08-03,210.0
2022-08-04,140.0
2022-08-05,357.5
2022-08-06,575.0
2022-08-07,495.0
2022-08-08,415.0
2022-08-09,365.0
2022-08-10,327.5
2022-08-11,290.0
2022-08-12,327.5
2022-08-13,365.0
2022-08-14,402.5
2022-08-15,440.0
2022-08-16,415.0
2022-08-17,290.0
2022-08-18,275.0
2022-08-19,240.0
2022-08-20,223.33333333333334
2022-08-21,206.66666666666666
2022-08-22,190.0
2022-08-23,235.0
2022-08-24,180.0
2022-08-25,185.0
2022-08-26,190.0
2022-08-27,213.33333333333334
2022-08-28,236.66666666666666
2022-08-29,260.0
2022-08-30,285.0
2022-08-31,241.66666666666666
2022-09-01,198.33333333333331
2022-09-02,155.0
2022-09-03,190.0
2022-09-04,250.0
2022-09-05,310.0
2022-09-06,465.0
2022-09-07,477.5
2022-09-08,490.0
2022-09-09,345.0
2022-09-10,327.5
2022-09-11,310.0
2022-09-12,165.0
2022-09-13,410.0
2022-09-14,410.0
2022-09-15,365.0
2022-09-16,365.0
2022-09-17,355.0
2022-09-18,345.0
2022-09-19,335.0
2022-09-20,275.0
2022-09-21,240.0
2022-09-22,240.0
2022-09-23,240.0
2022-09-24,240.0
2022-09-25,240.0
2022-09-26,240.0
2022-09-27,240.0
2022-09-28,230.0
2022-09-29,290.0
2022-09-30,235.0
2022-10-01,280.0
2022-10-02,155.0
2022-10-03,190.0
2022-10-04,306.6666666666667
2022-10-05,423.33333333333337
2022-10-06,540.0
2022-10-07,527.5
2022-10-08,515.0
2022-10-09,440.0
2022-10-10,365.0
2022-10-11,315.0
2022-10-12,292.5
2022-10-13,270.0
2022-10-14,265.0
2022-10-15,263.3333333333333
2022-10-16,261.6666666666667
2022-10-17,260.0
2022-10-18,260.0
2022-10-19,265.0
2022-10-20,265.0
2022-10-21,270.0
2022-10-22,261.25
2022-10-23,252.5
2022-10-24,243.75
2022-10-25,235.0
2022-10-26,275.0
2022-10-27,290.0
2022-10-28,290.0
2022-10-29,321.6666666666667
2022-10-30,353.3333333333333
2022-10-31,385.0
2022-11-01,270.0
2022-11-02,170.0
2022-11-03,170.0
2022-11-04,206.25
2022-11-05,242.5
2022-11-06,278.75
2022-11-07,315.0
2022-11-08,306.6666666666667
2022-11-09,298.3333333333333
2022-11-10,290.0
2022-11-11,315.0
2022-11-12,323.3333333333333
2022-11-13,331.6666666666667
2022-11-14,340.0
2022-11-15,340.0
2022-11-16,330.0
2022-11-17,290.0
2022-11-18,290.0
2022-11-19,315.0
2022-11-20,340.0
2022-11-21,365.0
2022-11-22,365.0
2022-11-23,380.0
2022-11-24,350.0
2022-11-25,365.0
2022-11-26,346.6666666666667
2022-11-27,328.3333333333333
2022-11-28,310.0
2022-11-29,255.0
2022-11-30,240.0
2022-12-01,310.0
2022-12-02,303.3333333333333
