Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
575.0,260.0,235.0,359.82
290.0,255.0,225.0,360.82
365.0,260.0,255.0,360.68
290.0,310.0,215.0,361.02
310.0,285.0,265.0,361.9
310.0,280.0,240.0,361.24
335.0,270.0,260.0,361.03
335.0,255.0,240.0,361.17
335.0,210.0,235.0,361.87
290.0,265.0,235.0,361.67
310.0,255.0,240.0,361.3
280.0,255.0,200.0,361.09
265.0,240.0,190.0,361.0
310.0,255.0,205.0,361.0
340.0,255.0,195.0,361.0
290.0,210.0,215.0,360.8
170.0,365.0,385.0,361.0
210.0,270.0,200.0,360.93
140.0,125.0,110.0,360.93
575.0,260.0,250.0,360.8
415.0,240.0,235.0,360.8
365.0,260.0,275.0,360.94
290.0,285.0,295.0,360.9
440.0,295.0,290.0,360.92
415.0,300.0,290.0,360.97
290.0,290.0,250.0,360.96
275.0,290.0,255.0,360.97
240.0,265.0,240.0,361.0
190.0,255.0,280.0,360.95
235.0,230.0,275.0,361.0
180.0,240.0,255.0,361.0
185.0,270.0,270.0,361.0
190.0,270.0,270.0,361.4
260.0,270.0,275.0,361.17
285.0,270.0,265.0,361.29
155.0,360.0,390.0,361.45
190.0,250.0,220.0,361.45
310.0,170.0,155.0,361.45
465.0,260.0,250.0,361.45
490.0,260.0,235.0,361.9
345.0,260.0,240.0,362.0
310.0,300.0,325.0,362.13
165.0,255.0,250.0,362.2
410.0,340.0,300.0,362.28
410.0,330.0,305.0,362.45
365.0,290.0,305.0,362.45
365.0,290.0,250.0,362.9
335.0,310.0,280.0,362.9
275.0,310.0,275.0,362.9
240.0,330.0,265.0,362.9
240.0,290.0,275.0,362.9
240.0,290.0,300.0,362.9
240.0,260.0,300.0,362.9
240.0,290.0,280.0,362.9
230.0,290.0,275.0,362.9
290.0,310.0,275.0,362.9
235.0,290.0,270.0,362.9
280.0,310.0,250.0,362.9
155.0,360.0,425.0,362.9
190.0,250.0,175.0,362.9
540.0,260.0,250.0,362.9
515.0,255.0,235.0,362.9
365.0,310.0,275.0,362.9
315.0,330.0,300.0,362.9
270.0,290.0,250.0,362.9
265.0,290.0,260.0,363.14
260.0,265.0,280.0,363.38
260.0,265.0,250.0,363.38
265.0,265.0,245.0,363.38
265.0,265.0,235.0,363.38
270.0,265.0,270.0,363.38
235.0,280.0,290.0,363.38
275.0,265.0,275.0,363.3
290.0,270.0,275.0,363.3
290.0,290.0,275.0,363.3
385.0,265.0,310.0,363.3
270.0,310.0,270.0,363.3
170.0,385.0,430.0,363.3
170.0,235.0,180.0,363.3
315.0,260.0,250.0,363.5
290.0,310.0,280.0,363.5
315.0,325.0,260.0,363.5
340.0,360.0,365.0,363.5
340.0,390.0,340.0,363.5
330.0,360.0,340.0,363.5
290.0,360.0,340.0,363.5
290.0,360.0,375.0,363.5
365.0,340.0,370.0,363.5
365.0,350.0,350.0,363.5
380.0,375.0,355.0,363.5
350.0,365.0,365.0,363.5
365.0,370.0,350.0,363.0
310.0,365.0,340.0,363.0
255.0,350.0,315.0,363.19
240.0,365.0,325.0,363.19
310.0,270.0,290.0,363.19
