Date,Item,Peliyagoda,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Veyangoda
2020-05-11,Leeks,,40.00--50.00,45.00--60.00,,,40.00--50.00,40.00-45.00,30.00-40.00,,
2020-06-01,Leeks,280.00--300.00,300.00--310.00,250.00--320.00,300.00--330.00,,320.00--330.00,,260.00-270.00,,
2020-06-03,Leeks,100.00--120.00,130.00--140.00,120.00-150.00,160.00-170.00,,160.00-170.00,130.00-150.00,140.00--145.00,,
2020-06-07,Leeks,50.00--70.00,70.00--80.00,55.00--70.00,90.00--100.00,,80.00--90.00,65.00-70.00,65.00-70.00,,
2020-06-08,Leeks,50.00--70.00,,80.00--100.00,,,55.00--65.00,50.00-60.00,40.00-50.00,,
2020-06-10,Leeks,50.00--60.00,50.00--60.00,50.00--60.00,65.00--70.00,,50.00--60.00,,50.00-55.00,,
2020-06-11,Leeks,,40.00--50.00,30.00--40.00,,,45.00--55.00,35.00-40.00,30.00-40.00,,
2020-06-15,Leeks,100.00--110.00,110.00--120.00,90.00-110.00,130.00-140.00,,100.00-120.00,100.00-110.00,105.00--110.00,,
2020-06-16,Leeks,110.00--120.00,110.00--120.00,90.00-110.00,130.00-140.00,,100.00-120.00,80.00-100.00,100.00--110.00,,
2020-06-17,Leeks,100.00--120.00,100.00--110.00,90.00-115.00,120.00-130.00,,100.00-120.00,85.00-90.00,90.00-95.00,,
2020-06-18,Leeks,100.00--120.00,100.00--110.00,90.00-100.00,110.00-120.00,,100.00-110.00,85.00-90.00,90.00-95.00,,
2020-06-19,Leeks,100.00--110.00,90.00--100.00,70.00-90.00,110.00-120.00,,90.00-110.00,80.00-90.00,90.00-95.00,,
2020-06-22,Leeks,100.00--120.00,90.00--100.00,80.00-110.00,100.00-120.00,,100.00-120.00,85.00-90.00,95.00--105.00,,
2020-06-23,Leeks,90.00--120.00,90.00--100.00,90.00-110.00,100.00-120.00,,90.00-110.00,85.00-90.00,100.00--110.00,,
2020-06-24,Leeks,80.00--110.00,90.00--100.00,90.00-120.00,100.00-120.00,,90.00-110.00,85.00-90.00,95.00--100.00,,
2020-06-25,Leeks,80.00--100.00,90.00--100.00,90.00--110.00,110.00--120.00,,100.00--120.00,90.00-95.00,95.00--100.00,,
2020-06-26,Leeks,90.00--120.00,80.00--90.00,70.00--100.00,100.00--110.00,,100.00--110.00,80.00-85.00,85.00-90.00,,
