Date,Kandy_Beans,Dambulla_Beans,Exchange Rate_Beans,Kandy_Carrot,Dambulla_Carrot,Exchange Rate_Carrot,Kandy_Leaks,Dambulla_Leaks,Buy Rate_Leaks
2023-05-08,290.0,310.0,319.44,310.0,315.0,319.44,125.0,132.5,312.2
2023-05-09,235.0,265.0,318.52,190.0,205.0,318.52,65.0,75.0,311.01
2023-05-10,390.0,325.0,318.09,170.0,145.0,318.09,65.0,80.0,310.9
2023-05-11,390.0,325.0,316.68,230.0,222.5,316.68,137.5,157.5,308.66
2023-05-12,475.0,475.0,313.65,290.0,300.0,313.65,210.0,235.0,306.39
2023-05-13,461.67,460.0,313.52,273.33,266.67,313.52,235.0,250.0,306.32
2023-05-14,448.33,445.0,313.38,256.67,233.33,313.38,260.0,265.0,306.26
2023-05-15,435.0,430.0,313.25,240.0,200.0,313.25,285.0,280.0,306.19
2023-05-16,375.0,360.0,312.64,230.0,200.0,312.64,260.0,260.0,305.43
2023-05-17,375.0,275.0,310.4,285.0,240.0,310.4,310.0,285.0,302.43
2023-05-18,325.0,375.0,307.37,285.0,280.0,307.37,290.0,300.0,299.21
2023-05-19,325.0,330.0,305.78,270.0,240.0,305.78,295.0,275.0,300.65
2023-05-20,305.0,291.67,306.22,270.0,246.67,306.22,286.67,278.33,300.34
2023-05-21,285.0,253.33,306.65,270.0,253.33,306.65,278.33,281.67,300.03
2023-05-22,265.0,215.0,307.08,270.0,260.0,307.08,270.0,285.0,299.71
2023-05-23,210.0,235.0,305.88,260.0,260.0,305.88,265.0,280.0,299.19
2023-05-24,215.0,215.0,304.71,260.0,245.0,304.71,260.0,260.0,297.99
2023-05-25,240.0,215.0,303.27,295.0,240.0,303.27,290.0,270.0,297.61
2023-05-26,265.0,325.0,303.05,290.0,255.0,303.05,295.0,255.0,295.63
2023-05-27,280.0,291.67,301.74,290.0,261.67,301.74,288.33,238.33,293.72
2023-05-28,295.0,258.33,300.42,290.0,268.33,300.42,281.67,221.67,291.81
2023-05-29,310.0,225.0,299.11,290.0,275.0,299.11,275.0,205.0,289.9
2023-05-30,310.0,325.0,296.69,310.0,305.0,296.69,255.0,265.0,290.67
2023-05-31,290.0,265.0,295.52,243.33,236.67,295.52,228.33,246.67,287.87
2023-06-01,310.0,305.0,292.46,176.67,168.33,292.46,201.67,228.33,283.88
2023-06-02,300.0,305.0,292.28,110.0,100.0,292.28,175.0,210.0,287.43
2023-06-03,296.67,298.33,292.29,107.5,92.5,292.29,194.17,218.33,286.82
2023-06-04,293.33,291.67,292.3,105.0,85.0,292.3,213.33,226.67,286.22
2023-06-05,290.0,285.0,292.31,215.0,192.5,292.31,232.5,235.0,285.62
2023-06-06,275.0,325.0,291.54,325.0,300.0,291.54,290.0,280.0,284.85
2023-06-07,310.0,315.0,291.21,410.0,425.0,291.21,190.0,200.0,285.57
2023-06-08,315.0,300.0,290.97,295.0,312.5,290.97,127.5,135.0,285.69
2023-06-09,235.0,215.0,293.21,180.0,200.0,293.21,65.0,70.0,288.09
2023-06-10,260.0,325.0,294.22,180.0,150.0,294.22,121.67,116.67,288.75
2023-06-11,265.0,285.0,295.23,240.0,225.0,295.23,178.33,163.33,289.41
2023-06-12,375.0,415.0,296.24,300.0,240.0,296.24,235.0,210.0,290.07
2023-06-13,360.0,365.0,300.43,330.0,300.0,300.43,240.0,220.0,294.91
2023-06-14,360.0,375.0,303.21,315.0,280.0,303.21,230.0,205.0,303.19
2023-06-15,375.0,375.0,308.48,300.0,275.0,308.48,215.0,255.0,311.61
2023-06-16,340.0,375.0,313.82,310.0,295.0,313.82,210.0,260.0,300.52
2023-06-17,356.67,375.0,312.28,303.33,301.67,312.28,205.0,246.67,299.53
2023-06-18,373.33,375.0,310.74,296.67,308.33,310.74,200.0,233.33,298.53
2023-06-19,390.0,375.0,309.2,290.0,315.0,309.2,195.0,220.0,297.54
2023-06-20,390.0,390.0,305.92,290.0,300.0,305.92,190.0,175.0,297.29
2023-06-21,415.0,375.0,306.12,290.0,300.0,306.12,210.0,210.0,298.47
2023-06-22,385.0,380.0,306.91,340.0,335.0,306.91,190.0,200.0,298.55
2023-06-23,390.0,415.0,306.95,340.0,380.0,306.95,190.0,210.0,299.04
2023-06-24,398.33,418.33,306.97,348.33,370.0,306.97,195.0,200.0,299.3
2023-06-25,406.67,421.67,306.98,356.67,360.0,306.98,200.0,190.0,299.57
2023-06-26,415.0,425.0,307.0,365.0,350.0,307.0,205.0,180.0,299.83
2023-06-27,425.0,425.0,308.12,360.0,390.0,308.12,195.0,190.0,301.33
2023-06-28,465.0,440.0,308.83,390.0,410.0,308.83,170.0,165.0,301.16
2023-06-29,412.5,387.5,308.71,395.0,375.0,308.71,173.61,168.33,300.94
2023-06-30,360.0,335.0,308.59,400.0,340.0,308.59,177.22,171.67,300.73
2023-07-01,348.75,320.0,308.47,260.0,225.0,308.47,180.83,175.0,300.51
2023-07-02,337.5,305.0,308.35,120.0,110.0,308.35,184.44,178.33,300.3
2023-07-03,326.25,290.0,308.24,105.0,95.0,308.24,188.06,181.67,300.09
2023-07-04,315.0,275.0,308.12,166.67,163.33,308.12,191.67,185.0,299.87
2023-07-05,290.0,300.0,306.26,228.33,231.67,306.26,228.33,205.0,298.9
2023-07-06,325.0,290.0,306.99,290.0,300.0,306.99,265.0,225.0,300.01
2023-07-07,340.0,275.0,308.2,410.0,415.0,308.2,170.0,170.0,302.65
2023-07-08,335.0,315.0,309.3,400.0,420.0,309.3,142.5,142.5,303.1
2023-07-09,240.0,305.0,310.4,190.0,215.0,310.4,115.0,115.0,303.56
